title,tags,id
Lost Summoner Kitty,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']",761140
Ironbound,"['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']",643980
Real Pool 3D - Poolians,"['Free to Play', 'Simulation', 'Sports', 'Casual', 'Indie', 'Multiplayer']",670290
弹炸人2222,"['Action', 'Adventure', 'Casual']",767400
Log Challenge,"['Action', 'Indie', 'Casual', 'Sports']",773570
Battle Royale Trainer,"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']",772540
Snow - All Access Basic Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774276
Snow - All Access Pro Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774277
Snow - All Access Legend Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774278
Race,"['Indie', 'Casual', 'Simulation', 'Racing']",768800
Uncanny Islands,"['Early Access', 'Action', 'Indie', 'Simulation', 'Survival']",768570
Army Of Tentacles: (Not) A Cthulhu Dating Sim: Black Goat Of The Woods Edition,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']",770380
Beach Rules,"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']",768880
Planetarium 2 - Zen Odyssey,"['Indie', 'Casual', 'Simulation']",765320
The First Thrust Of God,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773650
Snow - Starter Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774271
The First Thrust Of God - All Aircrafts,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773690
Snow - Lifetime Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774279
After Life Vr,"['Early Access', 'Indie', 'VR']",772590
Kitty Hawk,"['Early Access', 'Action', 'Adventure', 'Indie', 'Casual']",640250
The Warrior Of Treasures,"['Action', 'Adventure', 'Indie']",768060
Mortars Vr,"['Early Access', 'Strategy', 'Action', 'Indie', 'Casual', 'VR']",711440
Rc Plane 3 - Canyon Scenario,"['Simulation', 'Racing', 'Sports']",775880
Rc Plane 3 - F-53B,"['Simulation', 'Racing', 'Sports']",775881
Dinoblaster,"['Indie', 'Action']",653960
Robotpencil Presents: Understanding 3D For Concept,"['Design & Illustration', 'Tutorial']",777910
Carmageddon Max Pack,"['Racing', 'Action', 'Classic', 'Indie', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']",282010
Half-Life,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",70
Fallen Mage,"['Action', 'RPG', 'Indie']",752360
Don'T Get Hit In The Face,"['Action', 'Indie', 'VR']",594200
Lost Cities,"['Casual', 'Indie', 'Strategy', 'Card Game', 'Board Game', 'Turn-Based Strategy']",520680
Twisted Enhanced Edition,"['Action', 'Platformer', 'Side Scroller']",690410
Vaporwave Simulator,"['Casual', 'Indie', 'Simulation']",766850
Tactics Forever,"['Casual', 'Action', 'Massively Multiplayer', 'Indie', 'Sports', 'Simulation', 'Strategy']",413120
Christmas Santa Troubles,"['Adventure', 'Indie', 'Casual']",773120
Kingdom Watcher,"['Action', 'Free to Play', 'Strategy']",680970
Underdone - Soundtrack,"['Action', 'Adventure', 'RPG']",754360
Bitcoin Clicker,"['Adventure', 'RPG', 'Indie', 'Casual', 'Clicker']",716110
Disciples Ii: Gallean'S Return,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",1640
Disciples Ii: Rise Of The Elves,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",1630
The Ship: Murder Party,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",2400
United Tactics,"['Strategy', 'Co-op', 'Turn-Based', 'Tactical', 'War', 'Multiplayer', 'Turn-Based Strategy']",662570
Life Of Rome,"['Early Access', 'Massively Multiplayer', 'RPG', 'Indie', 'Rome', 'Historical', 'Multiplayer', 'Open World', 'Realistic', 'Crafting', 'Trading', 'Character Customization', 'MMORPG', 'First-Person', 'Third Person', 'Swordplay', 'Simulation', 'Hunting', 'Great Soundtrack']",381620
Idle Adventure,"['Early Access', 'Free to Play', 'Adventure', 'RPG']",714020
Panoptic,"['Early Access', 'Indie', 'Action', 'VR']",541930
Souland,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']",759920
Darkness And A Crowd,"['Action', 'Adventure', 'RPG', 'Indie', 'Violent', 'Strategy', 'Experience', 'Silent Protagonist']",659780
Tarotica Voo Doo,"['Indie', 'Action', 'Adventure', 'RPG']",603280
Chronicles Of Vinland,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']",753110
Orbitality,"['Indie', 'Action']",753100
Atomic Adam: Episode 1,"['Action', 'Adventure', 'Casual']",764280
Golf Masters,"['Simulation', 'Sports', 'Casual', 'Indie', 'Golf', 'VR']",374970
Mirt. Tales Of The Cold Land. Chapter 2,"['Adventure', 'Indie', 'Casual', 'Free to Play']",758550
Advent Rising,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",3800
Defcon,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",1520
The Ship: Single Player,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']",2420
Garry'S Mod,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Indie', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']",4000
Race - The Wtcc Game,"['Racing', 'Simulation']",4230
Zen Of Sudoku,"['Casual', 'Indie', 'Puzzle']",4900
Gumboy - Crazy Adventures™,"['Casual', 'Indie', 'Singleplayer']",2520
Ghost Master®,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",6200
Vegas: Make It Big™,"['Strategy', 'Simulation', 'Management']",6210
Dreamfall: The Longest Journey,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",6300
Flatout 2™,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",2990
Flatout,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",6220
Lost Planet™: Extreme Condition,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",6510
